url,bing_clicks,bing_impressions,bing_avg_position
https://prisonsonline.com/prisons/uk/hmp-whatton/visiting-times,2,2,4.00
https://prisonsonline.com/prisons/uk/hmp-whitemoor/contact-details,4,143,4.51
https://prisonsonline.com/prisons/uk/hmp-wormwood-scrubs/booking-a-visit,4,9,3.44
https://prisonsonline.com/prisons/uk/hmp-wormwood-scrubs/contact-details,10,896,5.79
https://prisonsonline.com/prisons/uk/hmp-wymott/contact-details,5,196,6.41
https://prisonsonline.com/prisons/uk/hmp-wymott/visiting-times,1,4,5.00
https://prisonsonline.com/prisons/uk/hmp-yoi-altcourse/contact-details,1,15,7.00
https://prisonsonline.com/prisons/uk/hmp-yoi-bronzefield/contact-details,12,321,6.34
https://prisonsonline.com/prisons/uk/hmp-yoi-chelmsford/contact-details,2,16,6.63
https://prisonsonline.com/prisons/uk/hmp-yoi-east-sutton-park/contact-details,2,3,4.00
https://prisonsonline.com/prisons/uk/hmp-yoi-foston-hall/contact-details,1,14,7.00
https://prisonsonline.com/prisons/uk/hmp-yoi-hindley/contact-details,5,96,7.48
https://prisonsonline.com/prisons/uk/hmp-yoi-hollesley-bay/contact-details,1,11,5.00
https://prisonsonline.com/prisons/uk/hmp-yoi-hull/contact-details,1,12,6.00
https://prisonsonline.com/prisons/uk/hmp-yoi-moorland/contact-details,2,13,9.77
https://prisonsonline.com/prisons/uk/hmp-yoi-new-hall/contact-details,1,7,6.00
https://prisonsonline.com/prisons/uk/hmp-yoi-new-hall/visiting-times,1,2,3.00
https://prisonsonline.com/prisons/uk/hmp-yoi-pentonville/contact-details,1,321,6.74
https://prisonsonline.com/prisons/uk/hmp-yoi-stocken/booking-a-visit,1,2,8.00
https://prisonsonline.com/prisons/uk/hmp-yoi-stoke-heath/contact-details,2,17,7.00
https://prisonsonline.com/prisons/uk/hmp-yoi-stoke-heath/visiting-times,1,2,4.00
https://prisonsonline.com/prisons/uk/hmp-yoi-thorn-cross/contact-details,4,9,4.33
https://prisonsonline.com/prisons/uk/hmyoi-wetherby/contact-details,1,3,7.00
https://prisonsonline.com/prisons/us/coleman-i-usp/visiting-times,1,2,6.00
